product_orders,product_reorders,product_reorder_rate,avg_cart_position,median_cart_position,std_cart_position,product_popularity_rank,order_size,order_reorders,order_reorder_rate,add_to_cart_order,department_frequency,aisle_frequency,department_id,aisle_id,reorder_x_position,popularity_score,order_complexity,reordered
59,14,0.2372881355932203,9.135593220338984,7.0,7.822288286593249,3955.5,9,2,0.2222222222222222,3,35986,1959,17,111,0.711864406779661,0.0031506995621061,2.0,0
808,513,0.6349009900990099,9.17079207920792,7.0,7.351371643929717,190.0,19,10,0.5263157894736842,4,217051,10575,16,36,2.53960396039604,0.0431485634946064,10.0,1
291,139,0.4776632302405498,8.594501718213058,7.0,7.080364105859865,748.5,22,12,0.5454545454545454,2,217051,55240,16,120,0.9553264604810996,0.0155398910605575,12.0,0
14,5,0.3571428571428571,11.857142857142858,10.5,6.948792289723034,11316.5,15,8,0.5333333333333333,7,81242,2905,13,5,2.5,0.0007476236249065,8.0,0
590,302,0.511864406779661,10.34915254237288,9.0,6.7529877153488345,310.0,7,1,0.1428571428571428,2,409087,150609,4,83,1.023728813559322,0.0315069956210616,1.0,0
3762,2548,0.6772993088782563,8.41733120680489,7.0,6.520187088704887,21.0,28,23,0.8214285714285714,16,409087,150609,4,83,10.8367889420521,0.2008971483498878,23.0,1
44,19,0.4318181818181818,12.25,9.5,8.928983379200933,5049.5,16,14,0.875,10,100426,7661,1,79,4.318181818181818,0.0023496742497062,14.0,1
538,383,0.7118959107806692,9.802973977695167,8.0,8.059267799897052,343.0,33,19,0.5757575757575758,32,100426,7661,1,79,22.780669144981413,0.0287301078714087,19.0,1
24,16,0.6666666666666666,9.708333333333334,8.0,7.629913479859711,7961.0,3,3,1.0,2,217051,1729,16,71,1.3333333333333333,0.0012816404998397,3.0,1
15480,13362,0.8631782945736434,4.763501291989664,3.0,4.9579091349581565,2.0,22,20,0.9090909090909092,9,409087,150473,4,24,7.76860465116279,0.8266581223966677,20.0,0
11,4,0.3636363636363636,11.545454545454543,10.0,9.63704971828657,13026.5,17,15,0.8823529411764706,6,1359,634,10,68,2.1818181818181817,0.0005874185624265,15.0,1
1186,844,0.7116357504215851,9.401349072512648,8.0,7.1838401541168855,119.0,12,4,0.3333333333333333,2,44291,5123,20,14,1.4232715008431702,0.0633344013670832,4.0,0
67,32,0.4776119402985074,9.73134328358209,6.0,9.572026937039048,3552.0,29,11,0.3793103448275862,5,81242,4758,13,105,2.388059701492537,0.0035779130620527,11.0,1
262,203,0.7748091603053435,8.061068702290076,6.0,6.717342711695824,852.5,19,15,0.7894736842105263,10,217051,55240,16,120,7.748091603053435,0.013991242123251,15.0,0
2646,2129,0.8046107331821618,6.317460317460317,4.0,5.928220080321816,38.0,17,14,0.8235294117647058,2,217051,12356,16,53,1.6092214663643236,0.1413008651073374,14.0,1
19,9,0.4736842105263157,12.36842105263158,9.0,10.056565165302546,9323.0,18,4,0.2222222222222222,5,29500,16201,14,121,2.3684210526315788,0.0010146320623731,4.0,0
20,17,0.85,7.6,5.5,6.133600299300481,9011.5,7,1,0.1428571428571428,7,44291,16957,20,96,5.95,0.0010680337498664,1.0,0
14,8,0.5714285714285714,9.285714285714286,7.5,7.300459115473718,11316.5,14,6,0.4285714285714285,5,35986,12694,17,54,2.8571428571428568,0.0007476236249065,6.0,1
53,19,0.3584905660377358,10.49056603773585,8.0,8.205585905836045,4341.5,11,6,0.5454545454545454,9,35986,5894,17,114,3.2264150943396226,0.0028302894371462,6.0,1
511,284,0.5557729941291585,9.960861056751469,8.0,6.933184937297905,363.5,17,7,0.4117647058823529,6,38713,9736,9,9,3.334637964774951,0.0272882623090889,7.0,0
6,5,0.8333333333333334,8.166666666666666,6.0,5.269408568963566,18046.5,13,12,0.9230769230769232,12,44291,4133,20,13,10.0,0.0003204101249599,12.0,1
2176,1683,0.7734375,6.436121323529412,5.0,5.917016989362147,58.0,6,2,0.3333333333333333,2,217051,26240,16,91,1.546875,0.1162020719854747,2.0,1
201,151,0.7512437810945274,6.278606965174129,5.0,4.711898773292063,1147.0,29,12,0.4137931034482758,7,217051,19875,16,86,5.258706467661692,0.0107337391861582,12.0,0
195,95,0.4871794871794871,9.64102564102564,8.0,6.998848136036238,1192.5,15,14,0.9333333333333332,13,217051,12820,16,108,6.333333333333333,0.0104133290611983,14.0,1
1920,1190,0.6197916666666666,8.795833333333333,7.0,6.761012542714628,67.5,19,11,0.5789473684210527,10,409087,150609,4,83,6.197916666666666,0.1025312399871836,11.0,0
259,157,0.6061776061776062,8.637065637065637,6.0,7.38789187758591,867.5,12,10,0.8333333333333334,6,114046,16279,7,77,3.637065637065637,0.0138310370607711,10.0,1
821,506,0.6163215590742996,8.375152253349574,7.0,6.495068777304253,186.0,6,1,0.1666666666666666,1,35986,12694,17,54,0.6163215590742996,0.0438427854320196,1.0,0
7293,6042,0.8284656519950637,6.972850678733032,5.0,6.149653853434211,7.0,5,4,0.8,1,409087,150473,4,24,0.8284656519950637,0.3894585068888176,4.0,1
